Time,root.PAMAP2.d0.s2(DOUBLE)
1970-01-01T08:00:08.380+08:00,104
1970-01-01T08:00:08.480+08:00,104
1970-01-01T08:00:08.590+08:00,104
1970-01-01T08:00:08.700+08:00,104
1970-01-01T08:00:08.810+08:00,104
1970-01-01T08:00:08.920+08:00,104
1970-01-01T08:00:09.030+08:00,104
1970-01-01T08:00:09.140+08:00,104
1970-01-01T08:00:09.250+08:00,105
1970-01-01T08:00:09.360+08:00,105
1970-01-01T08:00:09.470+08:00,105
1970-01-01T08:00:09.580+08:00,105
1970-01-01T08:00:09.690+08:00,105
1970-01-01T08:00:09.800+08:00,105
1970-01-01T08:00:09.910+08:00,105
1970-01-01T08:00:10.020+08:00,105
1970-01-01T08:00:10.130+08:00,106
1970-01-01T08:00:10.230+08:00,106
1970-01-01T08:00:10.340+08:00,106
1970-01-01T08:00:10.450+08:00,106
1970-01-01T08:00:10.560+08:00,106
1970-01-01T08:00:10.670+08:00,106
1970-01-01T08:00:10.780+08:00,106
1970-01-01T08:00:10.890+08:00,106
1970-01-01T08:00:11.000+08:00,107
1970-01-01T08:00:11.110+08:00,107
1970-01-01T08:00:11.220+08:00,107
1970-01-01T08:00:11.330+08:00,107
1970-01-01T08:00:11.440+08:00,107
1970-01-01T08:00:11.550+08:00,107
1970-01-01T08:00:11.660+08:00,107
1970-01-01T08:00:11.770+08:00,107
1970-01-01T08:00:11.880+08:00,106
1970-01-01T08:00:11.980+08:00,106
1970-01-01T08:00:12.090+08:00,106
1970-01-01T08:00:12.200+08:00,106
1970-01-01T08:00:12.310+08:00,106
1970-01-01T08:00:12.420+08:00,106
1970-01-01T08:00:12.530+08:00,106
1970-01-01T08:00:12.640+08:00,106
1970-01-01T08:00:12.750+08:00,105
1970-01-01T08:00:12.860+08:00,105
1970-01-01T08:00:12.970+08:00,105
1970-01-01T08:00:13.080+08:00,105
1970-01-01T08:00:13.190+08:00,105
1970-01-01T08:00:13.300+08:00,105
1970-01-01T08:00:13.410+08:00,105
1970-01-01T08:00:13.520+08:00,105
1970-01-01T08:00:13.630+08:00,104
1970-01-01T08:00:13.730+08:00,104
1970-01-01T08:00:13.840+08:00,104
1970-01-01T08:00:13.950+08:00,104
1970-01-01T08:00:14.060+08:00,104
1970-01-01T08:00:14.170+08:00,104
1970-01-01T08:00:14.280+08:00,104
1970-01-01T08:00:14.390+08:00,104
1970-01-01T08:00:14.500+08:00,103
1970-01-01T08:00:14.610+08:00,103
1970-01-01T08:00:14.720+08:00,103
