Time,root.PAMAP2.d0.s3(DOUBLE)
1970-01-01T08:04:24.410+08:00,31.75
1970-01-01T08:04:24.420+08:00,31.75
1970-01-01T08:04:24.430+08:00,31.75
1970-01-01T08:04:24.440+08:00,31.75
1970-01-01T08:04:24.450+08:00,31.75
1970-01-01T08:04:24.460+08:00,31.75
1970-01-01T08:04:24.470+08:00,31.75
1970-01-01T08:04:24.480+08:00,31.75
1970-01-01T08:04:24.490+08:00,31.75
1970-01-01T08:04:24.500+08:00,31.75
1970-01-01T08:04:24.510+08:00,31.75
1970-01-01T08:04:24.520+08:00,31.75
1970-01-01T08:04:24.530+08:00,31.75
1970-01-01T08:04:24.540+08:00,31.75
1970-01-01T08:04:24.550+08:00,31.75
1970-01-01T08:04:24.560+08:00,31.75
1970-01-01T08:04:24.570+08:00,31.75
1970-01-01T08:04:24.580+08:00,31.75
1970-01-01T08:04:24.590+08:00,31.75
1970-01-01T08:04:24.600+08:00,31.75
1970-01-01T08:04:24.610+08:00,31.75
1970-01-01T08:04:24.620+08:00,31.75
1970-01-01T08:04:24.630+08:00,31.75
1970-01-01T08:04:24.640+08:00,31.75
1970-01-01T08:04:24.650+08:00,31.75
1970-01-01T08:04:24.660+08:00,31.75
1970-01-01T08:04:24.670+08:00,31.75
1970-01-01T08:04:24.680+08:00,31.75
1970-01-01T08:04:24.690+08:00,31.75
1970-01-01T08:04:24.700+08:00,31.75
1970-01-01T08:04:24.710+08:00,31.75
1970-01-01T08:04:24.720+08:00,31.75
1970-01-01T08:04:24.730+08:00,31.75
1970-01-01T08:04:24.740+08:00,31.75
1970-01-01T08:04:24.750+08:00,31.75
1970-01-01T08:04:24.760+08:00,31.75
1970-01-01T08:04:24.770+08:00,31.75
1970-01-01T08:04:24.780+08:00,31.75
1970-01-01T08:04:24.790+08:00,31.75
1970-01-01T08:04:24.800+08:00,31.75
1970-01-01T08:04:24.810+08:00,31.75
1970-01-01T08:04:24.820+08:00,31.75
1970-01-01T08:04:24.830+08:00,31.75
1970-01-01T08:04:24.840+08:00,31.75
1970-01-01T08:04:24.850+08:00,31.75
1970-01-01T08:04:24.860+08:00,31.75
1970-01-01T08:04:24.870+08:00,31.75
1970-01-01T08:04:24.880+08:00,31.75
1970-01-01T08:04:24.890+08:00,31.75
1970-01-01T08:04:24.900+08:00,31.75
1970-01-01T08:04:24.910+08:00,31.75
1970-01-01T08:04:24.920+08:00,31.75
1970-01-01T08:04:24.930+08:00,31.75
1970-01-01T08:04:24.940+08:00,31.75
1970-01-01T08:04:24.950+08:00,31.75
1970-01-01T08:04:24.960+08:00,31.75
1970-01-01T08:04:24.970+08:00,31.75
1970-01-01T08:04:24.980+08:00,31.75
1970-01-01T08:04:24.990+08:00,31.75
1970-01-01T08:04:25.000+08:00,31.75
1970-01-01T08:04:25.010+08:00,31.75
1970-01-01T08:04:25.020+08:00,31.75
1970-01-01T08:04:25.030+08:00,31.75
1970-01-01T08:04:25.040+08:00,31.75
1970-01-01T08:04:25.050+08:00,31.75
1970-01-01T08:04:25.060+08:00,31.75
1970-01-01T08:04:25.070+08:00,31.75
1970-01-01T08:04:25.080+08:00,31.75
1970-01-01T08:04:25.090+08:00,31.75
1970-01-01T08:04:25.100+08:00,31.75
1970-01-01T08:04:25.110+08:00,31.75
1970-01-01T08:04:25.120+08:00,31.75
1970-01-01T08:04:25.130+08:00,31.75
1970-01-01T08:04:25.140+08:00,31.75
1970-01-01T08:04:25.150+08:00,31.75
1970-01-01T08:04:25.160+08:00,31.75
1970-01-01T08:04:25.170+08:00,31.75
1970-01-01T08:04:25.180+08:00,31.75
1970-01-01T08:04:25.190+08:00,31.75
1970-01-01T08:04:25.200+08:00,31.75
1970-01-01T08:04:25.210+08:00,31.75
1970-01-01T08:04:25.220+08:00,31.75
1970-01-01T08:04:25.230+08:00,31.75
1970-01-01T08:04:25.240+08:00,31.75
1970-01-01T08:04:25.250+08:00,31.75
1970-01-01T08:04:25.260+08:00,31.75
1970-01-01T08:04:25.270+08:00,31.75
1970-01-01T08:04:25.280+08:00,31.75
1970-01-01T08:04:25.290+08:00,31.75
1970-01-01T08:04:25.300+08:00,31.75
1970-01-01T08:04:25.310+08:00,31.75
1970-01-01T08:04:25.320+08:00,31.75
1970-01-01T08:04:25.330+08:00,31.75
1970-01-01T08:04:25.340+08:00,31.75
1970-01-01T08:04:25.350+08:00,31.75
1970-01-01T08:04:25.360+08:00,31.75
1970-01-01T08:04:25.370+08:00,31.75
1970-01-01T08:04:25.380+08:00,31.75
1970-01-01T08:04:25.390+08:00,31.75
1970-01-01T08:04:25.400+08:00,31.75
1970-01-01T08:04:25.410+08:00,31.75
1970-01-01T08:04:25.420+08:00,31.75
1970-01-01T08:04:25.430+08:00,31.75
1970-01-01T08:04:25.440+08:00,31.75
1970-01-01T08:04:25.450+08:00,31.75
1970-01-01T08:04:25.460+08:00,31.75
1970-01-01T08:04:25.470+08:00,31.75
1970-01-01T08:04:25.480+08:00,31.75
1970-01-01T08:04:25.490+08:00,31.75
1970-01-01T08:04:25.500+08:00,31.75
1970-01-01T08:04:25.510+08:00,31.75
1970-01-01T08:04:25.520+08:00,31.75
1970-01-01T08:04:25.530+08:00,31.75
1970-01-01T08:04:25.540+08:00,31.75
1970-01-01T08:04:25.550+08:00,31.75
1970-01-01T08:04:25.560+08:00,31.75
1970-01-01T08:04:25.570+08:00,31.75
1970-01-01T08:04:25.580+08:00,31.75
1970-01-01T08:04:25.590+08:00,31.75
1970-01-01T08:04:25.600+08:00,31.75
1970-01-01T08:04:25.610+08:00,31.75
1970-01-01T08:04:25.620+08:00,31.75
1970-01-01T08:04:25.630+08:00,31.75
1970-01-01T08:04:25.640+08:00,31.75
1970-01-01T08:04:25.650+08:00,31.75
1970-01-01T08:04:25.660+08:00,31.75
1970-01-01T08:04:25.670+08:00,31.75
1970-01-01T08:04:25.680+08:00,31.75
1970-01-01T08:04:25.690+08:00,31.75
1970-01-01T08:04:25.700+08:00,31.75
1970-01-01T08:04:25.710+08:00,31.75
1970-01-01T08:04:25.720+08:00,31.75
1970-01-01T08:04:25.730+08:00,31.75
1970-01-01T08:04:25.740+08:00,31.75
1970-01-01T08:04:25.750+08:00,31.75
1970-01-01T08:04:25.760+08:00,31.75
1970-01-01T08:04:25.770+08:00,31.75
1970-01-01T08:04:25.780+08:00,31.75
1970-01-01T08:04:25.790+08:00,31.75
1970-01-01T08:04:25.800+08:00,31.75
1970-01-01T08:04:25.810+08:00,31.75
1970-01-01T08:04:25.820+08:00,31.75
1970-01-01T08:04:25.830+08:00,31.75
1970-01-01T08:04:25.840+08:00,31.75
1970-01-01T08:04:25.850+08:00,31.75
1970-01-01T08:04:25.860+08:00,31.75
1970-01-01T08:04:25.870+08:00,31.75
1970-01-01T08:04:25.880+08:00,31.75
1970-01-01T08:04:25.890+08:00,31.75
1970-01-01T08:04:25.900+08:00,31.75
1970-01-01T08:04:25.910+08:00,31.75
1970-01-01T08:04:25.920+08:00,31.75
1970-01-01T08:04:25.930+08:00,31.75
1970-01-01T08:04:25.940+08:00,31.75
1970-01-01T08:04:25.950+08:00,31.75
1970-01-01T08:04:25.960+08:00,31.75
1970-01-01T08:04:25.970+08:00,31.75
1970-01-01T08:04:25.980+08:00,31.75
1970-01-01T08:04:25.990+08:00,31.75
1970-01-01T08:04:26.000+08:00,31.75
1970-01-01T08:04:26.010+08:00,31.75
1970-01-01T08:04:26.020+08:00,31.75
1970-01-01T08:04:26.030+08:00,31.75
1970-01-01T08:04:26.040+08:00,31.75
1970-01-01T08:04:26.050+08:00,31.75
1970-01-01T08:04:26.060+08:00,31.75
1970-01-01T08:04:26.070+08:00,31.75
1970-01-01T08:04:26.080+08:00,31.75
1970-01-01T08:04:26.090+08:00,31.75
1970-01-01T08:04:26.100+08:00,31.75
1970-01-01T08:04:26.110+08:00,31.75
1970-01-01T08:04:26.120+08:00,31.75
1970-01-01T08:04:26.130+08:00,31.75
1970-01-01T08:04:26.140+08:00,31.75
1970-01-01T08:04:26.150+08:00,31.75
1970-01-01T08:04:26.160+08:00,31.75
1970-01-01T08:04:26.170+08:00,31.75
1970-01-01T08:04:26.180+08:00,31.75
1970-01-01T08:04:26.190+08:00,31.75
1970-01-01T08:04:26.200+08:00,31.75
1970-01-01T08:04:26.210+08:00,31.75
1970-01-01T08:04:26.220+08:00,31.75
1970-01-01T08:04:26.230+08:00,31.75
1970-01-01T08:04:26.240+08:00,31.75
1970-01-01T08:04:26.250+08:00,31.75
1970-01-01T08:04:26.260+08:00,31.75
1970-01-01T08:04:26.270+08:00,31.75
1970-01-01T08:04:26.280+08:00,31.75
1970-01-01T08:04:26.290+08:00,31.75
1970-01-01T08:04:26.300+08:00,31.75
1970-01-01T08:04:26.310+08:00,31.75
1970-01-01T08:04:26.320+08:00,31.75
1970-01-01T08:04:26.330+08:00,31.75
1970-01-01T08:04:26.340+08:00,31.75
1970-01-01T08:04:26.350+08:00,31.75
1970-01-01T08:04:26.360+08:00,31.75
1970-01-01T08:04:26.370+08:00,31.75
1970-01-01T08:04:26.380+08:00,31.75
1970-01-01T08:04:26.390+08:00,31.75
1970-01-01T08:04:26.400+08:00,31.75
1970-01-01T08:04:26.410+08:00,31.75
1970-01-01T08:04:26.420+08:00,31.75
1970-01-01T08:04:26.430+08:00,31.75
1970-01-01T08:04:26.440+08:00,31.75
1970-01-01T08:04:26.450+08:00,31.75
1970-01-01T08:04:26.460+08:00,31.75
1970-01-01T08:04:26.470+08:00,31.75
1970-01-01T08:04:26.480+08:00,31.75
1970-01-01T08:04:26.490+08:00,31.75
1970-01-01T08:04:26.500+08:00,31.75
1970-01-01T08:04:26.510+08:00,31.75
1970-01-01T08:04:26.520+08:00,31.75
1970-01-01T08:04:26.530+08:00,31.75
1970-01-01T08:04:26.540+08:00,31.75
1970-01-01T08:04:26.550+08:00,31.75
1970-01-01T08:04:26.560+08:00,31.75
1970-01-01T08:04:26.570+08:00,31.75
1970-01-01T08:04:26.580+08:00,31.75
1970-01-01T08:04:26.590+08:00,31.75
1970-01-01T08:04:26.600+08:00,31.75
1970-01-01T08:04:26.610+08:00,31.75
1970-01-01T08:04:26.620+08:00,31.75
1970-01-01T08:04:26.630+08:00,31.75
1970-01-01T08:04:26.640+08:00,31.75
1970-01-01T08:04:26.650+08:00,31.75
1970-01-01T08:04:26.660+08:00,31.75
1970-01-01T08:04:26.670+08:00,31.75
1970-01-01T08:04:26.680+08:00,31.75
1970-01-01T08:04:26.690+08:00,31.75
1970-01-01T08:04:26.700+08:00,31.75
1970-01-01T08:04:26.710+08:00,31.75
1970-01-01T08:04:26.720+08:00,31.75
1970-01-01T08:04:26.730+08:00,31.75
1970-01-01T08:04:26.740+08:00,31.75
1970-01-01T08:04:26.750+08:00,31.75
1970-01-01T08:04:26.760+08:00,31.75
1970-01-01T08:04:26.770+08:00,31.75
1970-01-01T08:04:26.780+08:00,31.75
1970-01-01T08:04:26.790+08:00,31.75
1970-01-01T08:04:26.800+08:00,31.75
1970-01-01T08:04:26.810+08:00,31.75
1970-01-01T08:04:26.820+08:00,31.75
1970-01-01T08:04:26.830+08:00,31.75
1970-01-01T08:04:26.840+08:00,31.75
1970-01-01T08:04:26.850+08:00,31.75
1970-01-01T08:04:26.860+08:00,31.75
1970-01-01T08:04:26.870+08:00,31.75
1970-01-01T08:04:26.880+08:00,31.75
1970-01-01T08:04:26.890+08:00,31.75
1970-01-01T08:04:26.900+08:00,31.75
1970-01-01T08:04:26.910+08:00,31.75
1970-01-01T08:04:26.920+08:00,31.75
1970-01-01T08:04:26.930+08:00,31.75
1970-01-01T08:04:26.940+08:00,31.75
1970-01-01T08:04:26.950+08:00,31.75
1970-01-01T08:04:26.960+08:00,31.75
1970-01-01T08:04:26.970+08:00,31.75
1970-01-01T08:04:26.980+08:00,31.75
1970-01-01T08:04:26.990+08:00,31.75
