Time,root.PAMAP2.d0.s3(DOUBLE)
1970-01-01T08:15:30.530+08:00,33.25
1970-01-01T08:15:30.540+08:00,33.25
1970-01-01T08:15:30.550+08:00,33.25
1970-01-01T08:15:30.560+08:00,33.25
1970-01-01T08:15:30.570+08:00,33.25
1970-01-01T08:15:30.580+08:00,33.25
1970-01-01T08:15:30.590+08:00,33.25
1970-01-01T08:15:30.600+08:00,33.25
1970-01-01T08:15:30.610+08:00,33.25
1970-01-01T08:15:30.620+08:00,33.25
1970-01-01T08:15:30.630+08:00,33.25
1970-01-01T08:15:30.640+08:00,33.25
1970-01-01T08:15:30.650+08:00,33.25
1970-01-01T08:15:30.660+08:00,33.25
1970-01-01T08:15:30.670+08:00,33.25
1970-01-01T08:15:30.680+08:00,33.25
1970-01-01T08:15:30.690+08:00,33.25
1970-01-01T08:15:30.700+08:00,33.25
1970-01-01T08:15:30.710+08:00,33.25
1970-01-01T08:15:30.720+08:00,33.25
1970-01-01T08:15:30.730+08:00,33.25
1970-01-01T08:15:30.740+08:00,33.25
1970-01-01T08:15:30.790+08:00,33.25
1970-01-01T08:15:30.800+08:00,33.25
1970-01-01T08:15:30.810+08:00,33.25
1970-01-01T08:15:30.820+08:00,33.25
1970-01-01T08:15:30.830+08:00,33.25
1970-01-01T08:15:30.840+08:00,33.25
1970-01-01T08:15:30.850+08:00,33.25
1970-01-01T08:15:30.860+08:00,33.25
1970-01-01T08:15:30.870+08:00,33.25
1970-01-01T08:15:30.880+08:00,33.25
1970-01-01T08:15:30.890+08:00,33.25
1970-01-01T08:15:30.900+08:00,33.25
1970-01-01T08:15:30.910+08:00,33.3125
1970-01-01T08:15:30.920+08:00,33.3125
1970-01-01T08:15:30.930+08:00,33.3125
1970-01-01T08:15:30.940+08:00,33.3125
1970-01-01T08:15:30.950+08:00,33.3125
1970-01-01T08:15:30.960+08:00,33.3125
1970-01-01T08:15:30.970+08:00,33.3125
1970-01-01T08:15:30.980+08:00,33.3125
1970-01-01T08:15:30.990+08:00,33.3125
1970-01-01T08:15:31.000+08:00,33.3125
1970-01-01T08:15:31.010+08:00,33.3125
1970-01-01T08:15:31.020+08:00,33.3125
1970-01-01T08:15:31.030+08:00,33.3125
1970-01-01T08:15:31.040+08:00,33.3125
1970-01-01T08:15:31.050+08:00,33.3125
1970-01-01T08:15:31.060+08:00,33.3125
1970-01-01T08:15:31.070+08:00,33.3125
1970-01-01T08:15:31.080+08:00,33.3125
1970-01-01T08:15:31.090+08:00,33.3125
1970-01-01T08:15:31.100+08:00,33.3125
