Time,root.energy.d0.Appliances(DOUBLE)
2016-05-11T14:20:00+08:00,90
2016-05-11T14:30:00+08:00,70
2016-05-11T14:40:00+08:00,80
2016-05-11T14:50:00+08:00,80
2016-05-11T15:00:00+08:00,80
2016-05-11T15:10:00+08:00,80
2016-05-11T15:20:00+08:00,80
2016-05-11T15:30:00+08:00,70
2016-05-11T15:40:00+08:00,80
2016-05-11T15:50:00+08:00,70
2016-05-11T16:00:00+08:00,70
2016-05-11T16:10:00+08:00,70
2016-05-11T16:20:00+08:00,80
2016-05-11T16:30:00+08:00,70
2016-05-11T16:40:00+08:00,80
2016-05-11T16:50:00+08:00,80
2016-05-11T17:00:00+08:00,70
2016-05-11T17:10:00+08:00,90
2016-05-11T17:20:00+08:00,80
2016-05-11T17:30:00+08:00,100
2016-05-11T17:40:00+08:00,110
2016-05-11T17:50:00+08:00,100
2016-05-11T18:00:00+08:00,110
2016-05-11T18:10:00+08:00,90
2016-05-11T18:20:00+08:00,100
2016-05-11T18:30:00+08:00,100
2016-05-11T18:40:00+08:00,100
2016-05-11T18:50:00+08:00,110
2016-05-11T19:00:00+08:00,90
2016-05-11T19:10:00+08:00,120
2016-05-11T19:20:00+08:00,90
2016-05-11T19:30:00+08:00,100
2016-05-11T19:40:00+08:00,80
2016-05-11T19:50:00+08:00,90
2016-05-11T20:00:00+08:00,100
2016-05-11T20:10:00+08:00,90
2016-05-11T20:20:00+08:00,90
2016-05-11T20:30:00+08:00,80
2016-05-11T20:40:00+08:00,70
2016-05-11T20:50:00+08:00,80
2016-05-11T21:00:00+08:00,70
2016-05-11T21:10:00+08:00,60
2016-05-11T21:20:00+08:00,50
2016-05-11T21:30:00+08:00,70
2016-05-11T21:40:00+08:00,60
2016-05-11T21:50:00+08:00,60
2016-05-11T22:00:00+08:00,50
2016-05-11T22:10:00+08:00,60
2016-05-11T22:20:00+08:00,40
2016-05-11T22:30:00+08:00,60
2016-05-11T22:40:00+08:00,70
2016-05-11T22:50:00+08:00,50
2016-05-11T23:00:00+08:00,50
2016-05-11T23:10:00+08:00,60
2016-05-11T23:20:00+08:00,50
2016-05-11T23:30:00+08:00,60
2016-05-11T23:40:00+08:00,60
2016-05-11T23:50:00+08:00,60
2016-05-12T00:00:00+08:00,60
2016-05-12T00:10:00+08:00,50
2016-05-12T00:20:00+08:00,60
2016-05-12T00:30:00+08:00,60
2016-05-12T00:40:00+08:00,60
2016-05-12T00:50:00+08:00,50
2016-05-12T01:00:00+08:00,60
2016-05-12T01:10:00+08:00,50
2016-05-12T01:20:00+08:00,60
2016-05-12T01:30:00+08:00,60
2016-05-12T01:40:00+08:00,60
2016-05-12T01:50:00+08:00,50
2016-05-12T02:00:00+08:00,60
2016-05-12T02:10:00+08:00,50
2016-05-12T02:20:00+08:00,70
2016-05-12T02:30:00+08:00,50
2016-05-12T02:40:00+08:00,60
2016-05-12T02:50:00+08:00,50
2016-05-12T03:00:00+08:00,50
2016-05-12T03:10:00+08:00,50
2016-05-12T03:20:00+08:00,50
2016-05-12T03:30:00+08:00,50
2016-05-12T03:40:00+08:00,50
2016-05-12T03:50:00+08:00,50
2016-05-12T04:00:00+08:00,60
2016-05-12T04:10:00+08:00,50
2016-05-12T04:20:00+08:00,70
2016-05-12T04:30:00+08:00,50
2016-05-12T04:40:00+08:00,50
2016-05-12T04:50:00+08:00,60
2016-05-12T05:00:00+08:00,60
2016-05-12T05:10:00+08:00,50
2016-05-12T05:20:00+08:00,60
2016-05-12T05:30:00+08:00,90
2016-05-12T05:40:00+08:00,50
2016-05-12T05:50:00+08:00,60
2016-05-12T06:00:00+08:00,50
2016-05-12T06:10:00+08:00,40
2016-05-12T06:20:00+08:00,50
2016-05-12T06:30:00+08:00,40
2016-05-12T06:40:00+08:00,50
2016-05-12T06:50:00+08:00,60
2016-05-12T07:00:00+08:00,60
2016-05-12T07:10:00+08:00,60
2016-05-12T07:20:00+08:00,50
2016-05-12T07:30:00+08:00,60
2016-05-12T07:40:00+08:00,50
2016-05-12T07:50:00+08:00,70
2016-05-12T08:00:00+08:00,50
2016-05-12T08:10:00+08:00,60
2016-05-12T08:20:00+08:00,50
2016-05-12T08:30:00+08:00,50
2016-05-12T08:40:00+08:00,50
2016-05-12T08:50:00+08:00,50
2016-05-12T09:00:00+08:00,40
2016-05-12T09:10:00+08:00,50
2016-05-12T09:20:00+08:00,40
2016-05-12T09:30:00+08:00,50
2016-05-12T09:40:00+08:00,50
2016-05-12T09:50:00+08:00,60
2016-05-12T10:00:00+08:00,60
2016-05-12T10:10:00+08:00,60
2016-05-12T10:20:00+08:00,60
2016-05-12T10:30:00+08:00,50
2016-05-12T10:40:00+08:00,60
2016-05-12T10:50:00+08:00,60
2016-05-12T11:00:00+08:00,50
2016-05-12T11:10:00+08:00,50
2016-05-12T11:20:00+08:00,50
2016-05-12T11:30:00+08:00,50
2016-05-12T11:40:00+08:00,50
2016-05-12T11:50:00+08:00,50
2016-05-12T12:00:00+08:00,50
2016-05-12T12:10:00+08:00,60
2016-05-12T12:20:00+08:00,60
2016-05-12T12:30:00+08:00,50
2016-05-12T12:40:00+08:00,60
2016-05-12T12:50:00+08:00,50
2016-05-12T13:00:00+08:00,60
2016-05-12T13:10:00+08:00,60
2016-05-12T13:20:00+08:00,60
2016-05-12T13:30:00+08:00,50
2016-05-12T13:40:00+08:00,60
2016-05-12T13:50:00+08:00,50
2016-05-12T14:00:00+08:00,60
2016-05-12T14:10:00+08:00,60
2016-05-12T14:20:00+08:00,60
2016-05-12T14:30:00+08:00,50
2016-05-12T14:40:00+08:00,70
2016-05-12T14:50:00+08:00,40
2016-05-12T15:00:00+08:00,50
2016-05-12T15:10:00+08:00,60
2016-05-12T15:20:00+08:00,80
2016-05-12T15:30:00+08:00,60
2016-05-12T15:40:00+08:00,80
2016-05-12T15:50:00+08:00,80
2016-05-12T16:00:00+08:00,100
2016-05-12T16:10:00+08:00,100
2016-05-12T16:20:00+08:00,110
2016-05-12T16:30:00+08:00,200
2016-05-12T16:40:00+08:00,100
2016-05-12T16:50:00+08:00,100
2016-05-12T17:00:00+08:00,100
2016-05-12T17:10:00+08:00,110
2016-05-12T17:20:00+08:00,120
2016-05-12T17:30:00+08:00,110
2016-05-12T17:40:00+08:00,470
2016-05-12T17:50:00+08:00,340
2016-05-12T18:00:00+08:00,100
2016-05-12T18:10:00+08:00,110
2016-05-12T18:20:00+08:00,110
2016-05-12T18:30:00+08:00,90
2016-05-12T18:40:00+08:00,110
2016-05-12T18:50:00+08:00,110
2016-05-12T19:00:00+08:00,130
2016-05-12T19:10:00+08:00,120
2016-05-12T19:20:00+08:00,120
2016-05-12T19:30:00+08:00,120
2016-05-12T19:40:00+08:00,130
2016-05-12T19:50:00+08:00,120
2016-05-12T20:00:00+08:00,130
2016-05-12T20:10:00+08:00,120
2016-05-12T20:20:00+08:00,80
2016-05-12T20:30:00+08:00,70
2016-05-12T20:40:00+08:00,70
2016-05-12T20:50:00+08:00,130
2016-05-12T21:00:00+08:00,80
2016-05-12T21:10:00+08:00,70
2016-05-12T21:20:00+08:00,80
2016-05-12T21:30:00+08:00,80
2016-05-12T21:40:00+08:00,60
2016-05-12T21:50:00+08:00,60
2016-05-12T22:00:00+08:00,60
2016-05-12T22:10:00+08:00,60
2016-05-12T22:20:00+08:00,70
2016-05-12T22:30:00+08:00,50
2016-05-12T22:40:00+08:00,60
2016-05-12T22:50:00+08:00,60
2016-05-12T23:00:00+08:00,60
2016-05-12T23:10:00+08:00,60
2016-05-12T23:20:00+08:00,60
2016-05-12T23:30:00+08:00,50
2016-05-12T23:40:00+08:00,60
2016-05-12T23:50:00+08:00,50
2016-05-13T00:00:00+08:00,70
2016-05-13T00:10:00+08:00,50
2016-05-13T00:20:00+08:00,60
2016-05-13T00:30:00+08:00,40
2016-05-13T00:40:00+08:00,60
2016-05-13T00:50:00+08:00,50
2016-05-13T01:00:00+08:00,50
2016-05-13T01:10:00+08:00,50
2016-05-13T01:20:00+08:00,50
2016-05-13T01:30:00+08:00,60
2016-05-13T01:40:00+08:00,60
2016-05-13T01:50:00+08:00,50
2016-05-13T02:00:00+08:00,60
2016-05-13T02:10:00+08:00,60
2016-05-13T02:20:00+08:00,50
2016-05-13T02:30:00+08:00,60
2016-05-13T02:40:00+08:00,60
2016-05-13T02:50:00+08:00,60
2016-05-13T03:00:00+08:00,60
2016-05-13T03:10:00+08:00,60
2016-05-13T03:20:00+08:00,50
2016-05-13T03:30:00+08:00,60
2016-05-13T03:40:00+08:00,60
2016-05-13T03:50:00+08:00,60
2016-05-13T04:00:00+08:00,50
2016-05-13T04:10:00+08:00,50
2016-05-13T04:20:00+08:00,50
2016-05-13T04:30:00+08:00,50
2016-05-13T04:40:00+08:00,50
2016-05-13T04:50:00+08:00,50
2016-05-13T05:00:00+08:00,50
2016-05-13T05:10:00+08:00,60
2016-05-13T05:20:00+08:00,50
2016-05-13T05:30:00+08:00,60
2016-05-13T05:40:00+08:00,60
2016-05-13T05:50:00+08:00,70
2016-05-13T06:00:00+08:00,60
2016-05-13T06:10:00+08:00,70
2016-05-13T06:20:00+08:00,190
2016-05-13T06:30:00+08:00,370
2016-05-13T06:40:00+08:00,100
2016-05-13T06:50:00+08:00,90
2016-05-13T07:00:00+08:00,110
2016-05-13T07:10:00+08:00,80
2016-05-13T07:20:00+08:00,120
2016-05-13T07:30:00+08:00,110
2016-05-13T07:40:00+08:00,80
2016-05-13T07:50:00+08:00,560
2016-05-13T08:00:00+08:00,660
2016-05-13T08:10:00+08:00,330
2016-05-13T08:20:00+08:00,270
2016-05-13T08:30:00+08:00,290
2016-05-13T08:40:00+08:00,230
2016-05-13T08:50:00+08:00,250
2016-05-13T09:00:00+08:00,190
2016-05-13T09:10:00+08:00,80
2016-05-13T09:20:00+08:00,70
2016-05-13T09:30:00+08:00,60
2016-05-13T09:40:00+08:00,80
2016-05-13T09:50:00+08:00,80
2016-05-13T10:00:00+08:00,70
2016-05-13T10:10:00+08:00,60
2016-05-13T10:20:00+08:00,80
2016-05-13T10:30:00+08:00,70
2016-05-13T10:40:00+08:00,80
2016-05-13T10:50:00+08:00,80
2016-05-13T11:00:00+08:00,110
2016-05-13T11:10:00+08:00,600
2016-05-13T11:20:00+08:00,560
2016-05-13T11:30:00+08:00,320
2016-05-13T11:40:00+08:00,260
2016-05-13T11:50:00+08:00,280
2016-05-13T12:00:00+08:00,260
2016-05-13T12:10:00+08:00,240
2016-05-13T12:20:00+08:00,210
2016-05-13T12:30:00+08:00,100
2016-05-13T12:40:00+08:00,380
2016-05-13T12:50:00+08:00,620
2016-05-13T13:00:00+08:00,310
2016-05-13T13:10:00+08:00,270
2016-05-13T13:20:00+08:00,280
2016-05-13T13:30:00+08:00,240
2016-05-13T13:40:00+08:00,280
2016-05-13T13:50:00+08:00,230
2016-05-13T14:00:00+08:00,170
2016-05-13T14:10:00+08:00,170
2016-05-13T14:20:00+08:00,620
2016-05-13T14:30:00+08:00,460
2016-05-13T14:40:00+08:00,240
2016-05-13T14:50:00+08:00,250
2016-05-13T15:00:00+08:00,270
2016-05-13T15:10:00+08:00,250
2016-05-13T15:20:00+08:00,220
2016-05-13T15:30:00+08:00,170
2016-05-13T15:40:00+08:00,100
2016-05-13T15:50:00+08:00,200
2016-05-13T16:00:00+08:00,350
2016-05-13T16:10:00+08:00,300
2016-05-13T16:20:00+08:00,450
2016-05-13T16:30:00+08:00,450
2016-05-13T16:40:00+08:00,290
2016-05-13T16:50:00+08:00,270
2016-05-13T17:00:00+08:00,280
2016-05-13T17:10:00+08:00,200
2016-05-13T17:20:00+08:00,120
2016-05-13T17:30:00+08:00,120
2016-05-13T17:40:00+08:00,110
2016-05-13T17:50:00+08:00,560
2016-05-13T18:00:00+08:00,450
2016-05-13T18:10:00+08:00,490
2016-05-13T18:20:00+08:00,280
2016-05-13T18:30:00+08:00,280
2016-05-13T18:40:00+08:00,310
2016-05-13T18:50:00+08:00,280
2016-05-13T19:00:00+08:00,310
2016-05-13T19:10:00+08:00,330
2016-05-13T19:20:00+08:00,190
2016-05-13T19:30:00+08:00,130
2016-05-13T19:40:00+08:00,140
2016-05-13T19:50:00+08:00,150
2016-05-13T20:00:00+08:00,140
2016-05-13T20:10:00+08:00,130
2016-05-13T20:20:00+08:00,130
2016-05-13T20:30:00+08:00,100
2016-05-13T20:40:00+08:00,120
2016-05-13T20:50:00+08:00,100
2016-05-13T21:00:00+08:00,80
2016-05-13T21:10:00+08:00,60
2016-05-13T21:20:00+08:00,60
2016-05-13T21:30:00+08:00,60
2016-05-13T21:40:00+08:00,60
2016-05-13T21:50:00+08:00,60
2016-05-13T22:00:00+08:00,60
2016-05-13T22:10:00+08:00,50
2016-05-13T22:20:00+08:00,50
2016-05-13T22:30:00+08:00,50
2016-05-13T22:40:00+08:00,60
2016-05-13T22:50:00+08:00,60
2016-05-13T23:00:00+08:00,60
2016-05-13T23:10:00+08:00,70
2016-05-13T23:20:00+08:00,60
2016-05-13T23:30:00+08:00,60
2016-05-13T23:40:00+08:00,60
2016-05-13T23:50:00+08:00,60
2016-05-14T00:00:00+08:00,50
2016-05-14T00:10:00+08:00,60
2016-05-14T00:20:00+08:00,50
2016-05-14T00:30:00+08:00,60
2016-05-14T00:40:00+08:00,60
2016-05-14T00:50:00+08:00,70
2016-05-14T01:00:00+08:00,60
2016-05-14T01:10:00+08:00,70
2016-05-14T01:20:00+08:00,60
2016-05-14T01:30:00+08:00,60
2016-05-14T01:40:00+08:00,70
2016-05-14T01:50:00+08:00,60
2016-05-14T02:00:00+08:00,60
2016-05-14T02:10:00+08:00,50
2016-05-14T02:20:00+08:00,60
2016-05-14T02:30:00+08:00,60
2016-05-14T02:40:00+08:00,60
2016-05-14T02:50:00+08:00,70
2016-05-14T03:00:00+08:00,60
2016-05-14T03:10:00+08:00,70
2016-05-14T03:20:00+08:00,60
2016-05-14T03:30:00+08:00,60
2016-05-14T03:40:00+08:00,50
2016-05-14T03:50:00+08:00,60
2016-05-14T04:00:00+08:00,60
2016-05-14T04:10:00+08:00,50
2016-05-14T04:20:00+08:00,60
2016-05-14T04:30:00+08:00,60
2016-05-14T04:40:00+08:00,60
2016-05-14T04:50:00+08:00,70
2016-05-14T05:00:00+08:00,60
2016-05-14T05:10:00+08:00,60
2016-05-14T05:20:00+08:00,60
2016-05-14T05:30:00+08:00,50
2016-05-14T05:40:00+08:00,60
2016-05-14T05:50:00+08:00,50
2016-05-14T06:00:00+08:00,60
2016-05-14T06:10:00+08:00,70
2016-05-14T06:20:00+08:00,50
2016-05-14T06:30:00+08:00,70
2016-05-14T06:40:00+08:00,60
2016-05-14T06:50:00+08:00,70
2016-05-14T07:00:00+08:00,70
2016-05-14T07:10:00+08:00,60
2016-05-14T07:20:00+08:00,100
2016-05-14T07:30:00+08:00,50
2016-05-14T07:40:00+08:00,80
2016-05-14T07:50:00+08:00,320
2016-05-14T08:00:00+08:00,350
2016-05-14T08:10:00+08:00,160
2016-05-14T08:20:00+08:00,70
2016-05-14T08:30:00+08:00,80
2016-05-14T08:40:00+08:00,70
2016-05-14T08:50:00+08:00,70
2016-05-14T09:00:00+08:00,70
2016-05-14T09:10:00+08:00,80
2016-05-14T09:20:00+08:00,80
2016-05-14T09:30:00+08:00,100
2016-05-14T09:40:00+08:00,90
2016-05-14T09:50:00+08:00,290
2016-05-14T10:00:00+08:00,430
2016-05-14T10:10:00+08:00,100
2016-05-14T10:20:00+08:00,100
2016-05-14T10:30:00+08:00,100
2016-05-14T10:40:00+08:00,110
2016-05-14T10:50:00+08:00,110
2016-05-14T11:00:00+08:00,110
2016-05-14T11:10:00+08:00,90
2016-05-14T11:20:00+08:00,90
2016-05-14T11:30:00+08:00,100
2016-05-14T11:40:00+08:00,90
2016-05-14T11:50:00+08:00,100
2016-05-14T12:00:00+08:00,110
2016-05-14T12:10:00+08:00,110
2016-05-14T12:20:00+08:00,130
2016-05-14T12:30:00+08:00,110
2016-05-14T12:40:00+08:00,110
2016-05-14T12:50:00+08:00,130
2016-05-14T13:00:00+08:00,110
2016-05-14T13:10:00+08:00,130
2016-05-14T13:20:00+08:00,130
2016-05-14T13:30:00+08:00,120
2016-05-14T13:40:00+08:00,90
2016-05-14T13:50:00+08:00,100
2016-05-14T14:00:00+08:00,100
2016-05-14T14:10:00+08:00,110
2016-05-14T14:20:00+08:00,110
2016-05-14T14:30:00+08:00,100
2016-05-14T14:40:00+08:00,90
2016-05-14T14:50:00+08:00,130
2016-05-14T15:00:00+08:00,120
2016-05-14T15:10:00+08:00,140
2016-05-14T15:20:00+08:00,130
2016-05-14T15:30:00+08:00,130
2016-05-14T15:40:00+08:00,130
2016-05-14T15:50:00+08:00,130
2016-05-14T16:00:00+08:00,120
2016-05-14T16:10:00+08:00,110
2016-05-14T16:20:00+08:00,110
2016-05-14T16:30:00+08:00,110
2016-05-14T16:40:00+08:00,110
2016-05-14T16:50:00+08:00,110
2016-05-14T17:00:00+08:00,100
2016-05-14T17:10:00+08:00,100
2016-05-14T17:20:00+08:00,90
2016-05-14T17:30:00+08:00,100
2016-05-14T17:40:00+08:00,490
2016-05-14T17:50:00+08:00,570
