Time,root.energy.d0.Appliances(DOUBLE)
2016-02-26T22:20:00+08:00,50
2016-02-26T22:30:00+08:00,50
2016-02-26T22:40:00+08:00,50
2016-02-26T22:50:00+08:00,40
2016-02-26T23:00:00+08:00,40
2016-02-26T23:10:00+08:00,40
2016-02-26T23:20:00+08:00,20
2016-02-26T23:30:00+08:00,20
2016-02-26T23:40:00+08:00,30
2016-02-26T23:50:00+08:00,60
2016-02-27T00:00:00+08:00,50
2016-02-27T00:10:00+08:00,50
2016-02-27T00:20:00+08:00,40
2016-02-27T00:30:00+08:00,40
2016-02-27T00:40:00+08:00,50
2016-02-27T00:50:00+08:00,50
2016-02-27T01:00:00+08:00,40
2016-02-27T01:10:00+08:00,60
2016-02-27T01:20:00+08:00,50
2016-02-27T01:30:00+08:00,50
2016-02-27T01:40:00+08:00,40
2016-02-27T01:50:00+08:00,40
2016-02-27T02:00:00+08:00,30
2016-02-27T02:10:00+08:00,30
2016-02-27T02:20:00+08:00,20
2016-02-27T02:30:00+08:00,40
2016-02-27T02:40:00+08:00,50
2016-02-27T02:50:00+08:00,50
2016-02-27T03:00:00+08:00,40
2016-02-27T03:10:00+08:00,40
2016-02-27T03:20:00+08:00,50
2016-02-27T03:30:00+08:00,40
2016-02-27T03:40:00+08:00,40
2016-02-27T03:50:00+08:00,50
2016-02-27T04:00:00+08:00,60
2016-02-27T04:10:00+08:00,50
2016-02-27T04:20:00+08:00,40
2016-02-27T04:30:00+08:00,50
2016-02-27T04:40:00+08:00,40
2016-02-27T04:50:00+08:00,20
2016-02-27T05:00:00+08:00,30
2016-02-27T05:10:00+08:00,30
2016-02-27T05:20:00+08:00,40
2016-02-27T05:30:00+08:00,60
2016-02-27T05:40:00+08:00,50
2016-02-27T05:50:00+08:00,40
2016-02-27T06:00:00+08:00,50
2016-02-27T06:10:00+08:00,40
2016-02-27T06:20:00+08:00,40
2016-02-27T06:30:00+08:00,40
2016-02-27T06:40:00+08:00,50
2016-02-27T06:50:00+08:00,60
2016-02-27T07:00:00+08:00,50
2016-02-27T07:10:00+08:00,50
2016-02-27T07:20:00+08:00,40
2016-02-27T07:30:00+08:00,40
2016-02-27T07:40:00+08:00,40
2016-02-27T07:50:00+08:00,30
2016-02-27T08:00:00+08:00,40
2016-02-27T08:10:00+08:00,60
2016-02-27T08:20:00+08:00,70
2016-02-27T08:30:00+08:00,70
2016-02-27T08:40:00+08:00,60
2016-02-27T08:50:00+08:00,60
2016-02-27T09:00:00+08:00,90
2016-02-27T09:10:00+08:00,40
2016-02-27T09:20:00+08:00,60
2016-02-27T09:30:00+08:00,70
2016-02-27T09:40:00+08:00,310
2016-02-27T09:50:00+08:00,290
2016-02-27T10:00:00+08:00,60
2016-02-27T10:10:00+08:00,50
2016-02-27T10:20:00+08:00,60
